timestep,dream_reward,real_reward,best_real
10000,-0.021,-6.318799999999999,-6.318799999999999
20000,-0.001,-6.1024,-6.1024
30000,-0.001,-6.2612000000000005,-6.1024
40000,-0.001,-6.313599999999999,-6.1024
50000,-0.001,-5.7582,-5.7582
60000,1.279,-6.3272,-5.7582
70000,-0.001,-6.203999999999999,-5.7582
80000,-0.001,-6.2206,-5.7582
90000,-0.001,-5.623800000000001,-5.623800000000001
100000,-0.001,-6.124199999999999,-5.623800000000001
110000,-0.001,-5.203200000000004,-5.203200000000004
120000,-0.001,-5.8536,-5.203200000000004
130000,-0.001,-5.885,-5.203200000000004
140000,-0.001,-5.685999999999998,-5.203200000000004
150000,-0.001,-5.175799999999998,-5.175799999999998
160000,-0.001,-6.158199999999999,-5.175799999999998
170000,-0.001,-6.2096,-5.175799999999998
180000,-0.001,-6.5468,-5.175799999999998
190000,-0.001,-6.343,-5.175799999999998
200000,-0.001,-6.1448,-5.175799999999998
