timestep,dream_reward,real_reward,best_real
50000,-0.001,-5.923599999999998,-5.923599999999998
100000,-0.001,-6.151,-5.923599999999998
150000,-0.001,-6.358399999999999,-5.923599999999998
200000,-0.001,-6.348799999999999,-5.923599999999998
250000,-0.001,-6.951600000000001,-5.923599999999998
300000,-0.001,-6.8416,-5.923599999999998
350000,-0.001,-6.3798,-5.923599999999998
400000,-0.001,-6.382,-5.923599999999998
450000,-0.001,-6.071799999999999,-5.923599999999998
500000,-0.001,-6.522999999999999,-5.923599999999998
550000,-0.001,-5.9556000000000004,-5.923599999999998
600000,-0.001,-6.338800000000001,-5.923599999999998
650000,-0.021,-5.068399999999997,-5.068399999999997
700000,-0.001,-4.869799999999998,-4.869799999999998
750000,-0.001,-5.652599999999998,-4.869799999999998
800000,-0.021,-5.937599999999995,-4.869799999999998
850000,-0.001,-5.852799999999998,-4.869799999999998
900000,-0.001,-5.2197999999999904,-4.869799999999998
950000,-0.001,-5.549399999999997,-4.869799999999998
